,District,Sub_District,School Code,School Name
0,港島,中西區,AP0159,己連拿小學
1,港島,中西區,AP0078,中西區聖安多尼學校
2,港島,中西區,AP0052,天主教總堂區學校
3,港島,中西區,AP0311,李陞小學
4,港島,中西區,AP0280,英皇書院同學會小學
5,港島,中西區,AP0281,英皇書院同學會小學第二校
6,港島,中西區,AP0092,香港潮商學校
7,港島,中西區,AP0026,般咸道官立小學
8,港島,中西區,AP0271,救恩學校
9,港島,中西區,AP0455,新會商會學校
10,港島,中西區,AP0559,聖士提反女子中學附屬小學
11,港島,中西區,AP0501,聖公會呂明才紀念小學
12,港島,中西區,AP0497,聖公會基恩小學
13,港島,中西區,AP0510,聖公會聖彼得小學
14,港島,中西區,AP0508,聖公會聖馬太小學
15,港島,中西區,AP0531,聖安多尼學校
16,港島,中西區,AP0535,聖嘉勒小學
17,港島,中西區,AP0534,聖嘉祿學校
18,港島,中西區,AP0560,聖類斯中學（小學部）
19,港島,中西區,AP0439,嘉諾撒聖心學校
20,港島,中西區,AP0437,嘉諾撒聖心學校私立部
21,港島,中西區,AP0712,德瑞國際學校
22,港島,中西區,AP0722,山頂小學
23,港島,東區,AP0071,中華基督教會基灣小學
24,港島,東區,AP0072,中華基督教會基灣小學（愛蝶灣）
25,港島,東區,AP0089,丹拿山循道學校
26,港島,東區,AP0343,天主教明德學校
27,港島,東區,AP0579,太古小學
28,港島,東區,AP0352,北角官立小學
29,港島,東區,AP0088,北角循道學校
30,港島,東區,AP0354,北角衞理小學
31,港島,東區,AP0117,地利亞（加拿大）學校
32,港島,東區,AP0031,佛教中華康山學校
33,港島,東區,AP0187,香港中國婦女會丘佐榮學校
34,港島,東區,AP0041,香港嘉諾撒學校
35,港島,東區,AP0082,啓基學校（港島）
36,港島,東區,AP0411,培僑小學
37,港島,東區,AP0127,基督教香港信義會信愛學校
38,港島,東區,AP0449,救世軍中原慈善基金學校
39,港島,東區,AP0435,救世軍韋理夫人紀念學校
40,港島,東區,AP0196,港大同學會小學
41,港島,東區,AP0414,番禺會所華仁小學
42,港島,東區,AP0005,愛秩序灣官立小學
43,港島,東區,AP0446,慈幼學校
44,港島,東區,AP0473,筲箕灣官立小學
45,港島,東區,AP0474,筲箕灣崇真學校
